Date,High,Low,Open,Close,Volume,Adj Close,Name,Symbol
2020-01-02,597.8300170898438,590.7899780273438,595.7000122070312,597.260009765625,541000,597.260009765625,Intuitive Surgical Inc.,ISRG
2020-01-03,594.5800170898438,582.1599731445312,588.1799926757812,593.3400268554688,418700,593.3400268554688,Intuitive Surgical Inc.,ISRG
2020-01-06,597.6199951171875,587.9500122070312,590.0,595.760009765625,524800,595.760009765625,Intuitive Surgical Inc.,ISRG
2020-01-07,589.9500122070312,573.739990234375,589.9500122070312,582.7999877929688,1171700,582.7999877929688,Intuitive Surgical Inc.,ISRG
2020-01-08,585.3699951171875,576.5900268554688,581.5399780273438,581.780029296875,893100,581.780029296875,Intuitive Surgical Inc.,ISRG
2020-01-09,589.75,582.0800170898438,587.510009765625,585.7899780273438,996300,585.7899780273438,Intuitive Surgical Inc.,ISRG
2020-01-10,616.5599975585938,597.8900146484375,605.5,598.719970703125,1282600,598.719970703125,Intuitive Surgical Inc.,ISRG
2020-01-13,606.9199829101562,598.8499755859375,600.489990234375,603.1199951171875,615200,603.1199951171875,Intuitive Surgical Inc.,ISRG
2020-01-14,604.2999877929688,597.5999755859375,602.719970703125,602.6900024414062,445300,602.6900024414062,Intuitive Surgical Inc.,ISRG
2020-01-15,605.489990234375,596.0,602.6900024414062,597.239990234375,431900,597.239990234375,Intuitive Surgical Inc.,ISRG
2020-01-16,603.7999877929688,593.0599975585938,601.5900268554688,598.2899780273438,498900,598.2899780273438,Intuitive Surgical Inc.,ISRG
2020-01-17,600.8300170898438,594.0,600.5499877929688,600.030029296875,592600,600.030029296875,Intuitive Surgical Inc.,ISRG
2020-01-21,602.5,597.3599853515625,598.2899780273438,601.6500244140625,501400,601.6500244140625,Intuitive Surgical Inc.,ISRG
2020-01-22,614.489990234375,602.510009765625,605.0,610.239990234375,677000,610.239990234375,Intuitive Surgical Inc.,ISRG
2020-01-23,615.0,606.5999755859375,611.8499755859375,615.0,980500,615.0,Intuitive Surgical Inc.,ISRG
2020-01-24,605.0,583.8300170898438,604.7999877929688,589.2000122070312,2088800,589.2000122070312,Intuitive Surgical Inc.,ISRG
2020-01-27,572.989990234375,559.260009765625,571.9099731445312,567.5,1492900,567.5,Intuitive Surgical Inc.,ISRG
2020-01-28,573.4400024414062,567.5,570.3300170898438,569.72998046875,850000,569.72998046875,Intuitive Surgical Inc.,ISRG
